Ranking,Team,Record,Conf,SubDiv,Rating,MoV,SoS,Last Year,Resume
1,Oregon,5-0,B10,FBS,0.964,6,38,2,4
2,Ohio State,4-0,B10,FBS,0.962,13,35,1,3
3,Notre Dame,2-2,-,FBS,0.938,52,1,3,40
4,Indiana,5-0,B10,FBS,0.860,7,48,7,6
5,Ole Miss,5-0,SEC,FBS,0.851,40,4,6,2
6,Texas A&M,4-0,SEC,FBS,0.814,50,2,13,1
7,Texas,3-1,SEC,FBS,0.805,29,55,4,48
8,Alabama,3-1,SEC,FBS,0.792,43,16,8,20
9,Miami FL,4-0,ACC,FBS,0.790,8,41,24,5
10,Tennessee,4-1,SEC,FBS,0.778,17,36,21,23
11,USC,4-1,B10,FBS,0.761,22,37,18,29
12,Penn State,3-1,B10,FBS,0.754,23,68,5,56
13,Georgia,3-1,SEC,FBS,0.747,58,5,9,16
14,LSU,4-1,SEC,FBS,0.704,64,6,14,18
15,Michigan,3-1,B10,FBS,0.701,48,25,19,25
16,BYU,4-0,B12,FBS,0.696,16,90,12,12
17,Arizona State,4-1,B12,FBS,0.678,72,10,10,14
18,Oklahoma,4-0,SEC,FBS,0.674,18,40,46,7
19,TCU,3-1,B12,FBS,0.669,37,29,38,33
20,Vanderbilt,5-0,SEC,FBS,0.650,14,78,44,8
21,Louisville,4-0,ACC,FBS,0.649,34,75,17,15
22,Iowa State,5-0,B12,FBS,0.635,45,53,34,10
23,Washington,3-1,B10,FBS,0.619,44,34,49,37
24,Utah,4-1,B12,FBS,0.618,15,88,48,44
25,Missouri,5-0,SEC,FBS,0.616,11,112,36,12
26,Auburn,3-2,SEC,FBS,0.600,63,15,58,43
27,Kansas,3-2,B12,FBS,0.598,39,80,23,73
28,Texas Tech,4-0,B12,FBS,0.597,3,170,54,19
29,Illinois,4-1,B10,FBS,0.597,71,28,32,11
30,Nebraska,3-1,B10,FBS,0.591,41,85,27,38
31,Tulane,4-1,Amer,FBS,0.583,65,33,42,28
32,Maryland,4-0,B10,FBS,0.573,5,113,67,27
33,South Carolina,3-2,SEC,FBS,0.569,104,12,11,49
34,North Dakota State,4-0,MVC,FCS,0.550,4,207,35,5
35,Boise State,3-1,MW,FBS,0.529,35,137,20,66
36,SMU,2-2,ACC,FBS,0.521,87,70,15,76
37,Georgia Tech,5-0,ACC,FBS,0.514,53,65,55,9
38,Iowa,3-2,B10,FBS,0.513,81,51,29,50
39,Virginia,4-1,ACC,FBS,0.508,26,97,72,47
40,Cincinnati,3-1,B12,FBS,0.501,47,84,56,30
41,Old Dominion,3-1,SB,FBS,0.494,51,47,75,35
42,Rutgers,3-2,B10,FBS,0.485,60,69,53,67
43,Colorado,2-3,B12,FBS,0.484,108,27,30,106
44,Memphis,5-0,Amer,FBS,0.476,25,131,52,24
45,Mississippi State,4-1,SEC,FBS,0.476,36,72,103,25
46,Minnesota,3-1,B10,FBS,0.475,59,128,22,51
47,Florida,1-3,SEC,FBS,0.457,135,32,31,104
48,Baylor,3-2,B12,FBS,0.456,91,46,37,51
49,James Madison,3-1,SB,FBS,0.454,30,108,68,62
50,Kentucky,2-2,SEC,FBS,0.454,102,11,64,64
51,North Texas,5-0,Amer,FBS,0.446,28,92,105,16
52,UNLV,4-0,MW,FBS,0.443,55,136,33,31
53,Arkansas,2-3,SEC,FBS,0.442,111,23,57,89
54,Kansas State,2-3,B12,FBS,0.439,137,22,28,101
55,Michigan State,3-1,B10,FBS,0.438,85,39,65,40
56,Toledo,3-2,MAC,FBS,0.434,31,119,78,86
57,Navy,4-0,Amer,FBS,0.432,20,167,43,36
58,Pitt,2-2,ACC,FBS,0.416,57,106,61,93
59,Houston,4-0,B12,FBS,0.413,46,96,81,22
60,Florida State,3-1,ACC,FBS,0.413,10,102,113,31
61,Clemson,1-3,ACC,FBS,0.408,203,9,16,108
62,South Dakota State,4-0,MVC,FCS,0.391,27,168,47,2
63,Duke,3-2,ACC,FBS,0.389,126,26,62,53
64,Ohio,3-2,MAC,FBS,0.385,126,30,60,64
65,Montana State,3-2,BSky,FCS,0.384,66,127,41,20
66,Virginia Tech,2-3,ACC,FBS,0.384,163,18,26,91
67,Syracuse,3-2,ACC,FBS,0.380,130,43,40,61
68,East Carolina,3-2,Amer,FBS,0.375,61,73,109,69
69,NC State,3-2,ACC,FBS,0.356,132,14,90,46
70,Arizona,3-1,B12,FBS,0.355,67,59,98,39
71,Army,1-3,Amer,FBS,0.348,205,19,25,100
72,UCF,3-1,B12,FBS,0.341,54,140,70,63
73,Texas State,3-1,SB,FBS,0.336,84,105,63,45
74,Boston College,1-3,ACC,FBS,0.332,98,114,45,121
75,UTSA,2-2,Amer,FBS,0.317,99,50,89,77
76,Wisconsin,2-2,B10,FBS,0.315,191,31,39,71
77,USF,3-1,Amer,FBS,0.313,113,7,110,21
78,Cal,4-1,ACC,FBS,0.310,83,115,69,34
79,Louisiana Tech,4-1,CUSA,FBS,0.294,62,101,120,54
80,Washington State,3-2,P12,FBS,0.266,147,57,66,74
81,Wake Forest,2-2,ACC,FBS,0.261,100,66,97,93
82,Northwestern,2-2,B10,FBS,0.257,146,44,85,72
83,Purdue,2-2,B10,FBS,0.256,136,13,112,68
84,UConn,3-2,-,FBS,0.247,78,142,77,92
85,Fresno State,4-1,MW,FBS,0.245,94,116,73,42
86,North Carolina,2-2,ACC,FBS,0.245,124,86,79,87
87,Miami OH,1-3,MAC,FBS,0.236,159,62,74,114
88,Utah State,3-2,MW,FBS,0.226,93,74,127,70
89,Hawai'i,4-2,MW,FBS,0.192,90,126,106,82
90,Marshall,2-3,SB,FBS,0.189,131,121,51,118
91,Western Michigan,2-3,MAC,FBS,0.183,180,24,99,97
92,Missouri State,2-3,CUSA,FBS,0.181,155,52,107,103
93,Tarleton State,5-0,UAC,FCS,0.179,9,219,122,3
94,Bowling Green,2-3,MAC,FBS,0.155,176,64,71,106
95,Montana,4-0,BSky,FCS,0.155,38,179,126,4
96,Western Kentucky,4-1,CUSA,FBS,0.152,110,122,95,56
97,Northern Illinois,1-3,MAC,FBS,0.143,201,63,76,113
98,West Virginia,2-3,B12,FBS,0.140,217,42,59,96
99,San Diego State,3-1,MW,FBS,0.129,77,103,164,55
100,Stanford,2-3,ACC,FBS,0.121,222,17,96,95
101,San Jose State,1-3,MW,FBS,0.120,188,61,92,110
102,New Mexico,3-1,MW,FBS,0.109,118,111,115,59
103,Rice,3-2,Amer,FBS,0.097,119,130,104,87
104,North Dakota,2-2,MVC,FCS,0.097,33,192,144,49
105,Georgia Southern,2-3,SB,FBS,0.088,200,60,83,105
106,South Alabama,1-4,SB,FBS,0.076,208,54,87,126
107,Oregon State,0-5,P12,FBS,0.072,248,3,101,136
108,UCLA,0-4,B10,FBS,0.072,261,21,50,129
109,Kennesaw State,3-2,CUSA,FBS,0.067,96,109,189,79
110,Tennessee Tech,4-0,BSth-OVC,FCS,0.062,2,259,153,24
111,Oklahoma State,1-3,B12,FBS,0.053,236,45,86,108
112,Southern Miss,3-2,SB,FBS,0.053,109,95,198,90
113,Tulsa,2-3,Amer,FBS,0.052,122,79,208,112
114,Delaware,3-1,CUSA,FBS,0.050,121,107,148,58
115,Colorado State,1-3,MW,FBS,0.043,227,71,82,120
116,Louisiana-Monroe,3-1,SB,FBS,0.042,120,147,118,60
117,Buffalo,2-3,MAC,FBS,0.040,123,162,91,123
118,Wyoming,2-2,MW,FBS,0.033,171,76,134,80
119,FIU,2-2,CUSA,FBS,0.031,141,118,135,85
120,Jax State,2-3,CUSA,FBS,0.030,143,145,94,124
121,Coastal Carolina,2-2,SB,FBS,0.028,192,89,102,82
122,SE Louisiana,3-2,SL,FCS,0.024,73,175,169,32
123,UC Davis,3-1,BSky,FCS,0.023,134,163,100,11
124,Northern Arizona,4-1,BSky,FCS,0.018,89,165,149,6
125,Georgia State,1-3,SB,FBS,0.014,228,20,133,101
126,Central Michigan,3-2,MAC,FBS,0.012,139,124,150,74
127,FAU,1-3,Amer,FBS,0.006,161,91,146,119
128,UAB,2-2,Amer,FBS,0.005,211,56,123,78
129,Mercer,3-1,SoCon,FCS,0.004,76,200,121,9
130,Lehigh,5-0,PL,FCS,-0.003,32,233,147,7
131,Air Force,1-3,MW,FBS,-0.008,189,104,108,122
132,Nevada,1-3,MW,FBS,-0.010,197,93,111,114
133,Troy,2-2,SB,FBS,-0.013,183,87,128,84
134,South Dakota,2-3,MVC,FCS,-0.014,187,125,80,38
135,App State,2-2,SB,FBS,-0.015,158,132,119,97
136,Sam Houston,0-4,CUSA,FBS,-0.020,264,8,88,126
137,Yale,2-0,Ivy,FCS,-0.024,69,204,137,21
138,Austin Peay,3-2,UAC,FCS,-0.026,80,183,174,30
139,Idaho,2-3,BSky,FCS,-0.027,157,156,93,49
140,Harvard,2-0,Ivy,FCS,-0.028,1,265,142,40
141,Southern Illinois,3-1,MVC,FCS,-0.037,19,231,177,22
