Team                         R1         QF         SF          W
Indiana                  100.00%     69.67%     34.67%     19.99%
Ohio State               100.00%     66.67%     44.70%     23.59%
Georgia                  100.00%     63.86%     27.14%     10.78%
Texas Tech               100.00%     49.59%     27.17%     15.39%
Oregon                    93.58%     49.73%     28.74%     17.14%
Ole Miss                  75.61%     30.54%     10.22%      3.15%
Texas A&M                 52.84%     16.48%      7.96%      2.70%
Oklahoma                  67.25%     22.27%      7.35%      3.00%
Alabama                   32.75%      8.06%      1.98%      0.63%
Miami FL                  47.16%     16.85%      8.97%      3.46%
Tulane                    24.39%      5.60%      1.01%      0.16%
James Madison              6.42%      0.68%      0.09%      0.01%
