Team                 R16        R8         QF         SF         W
North Dakota State       100.00%     91.02%     81.70%     66.75%     41.78%
Montana State            100.00%     88.32%     79.58%     64.84%     36.17%
Montana                  100.00%     83.20%     58.54%     19.30%      6.76%
Tarleton State           100.00%     55.99%     32.92%      8.80%      3.09%
Lehigh                   100.00%     68.74%     33.18%      9.17%      3.32%
Mercer                   100.00%     72.34%     28.92%      7.45%      1.99%
SF Austin                100.00%     69.07%     11.17%      3.70%      0.77%
UC Davis                 100.00%     73.67%     12.08%      4.47%      1.22%
Rhode Island              88.33%     25.62%      2.56%      0.63%      0.11%
Abilene Christian         81.73%     28.46%      3.53%      0.94%      0.15%
South Dakota              88.81%     26.96%      7.91%      1.26%      0.23%
Villanova                 29.46%      4.41%      0.85%      0.07%      0.01%
Tennessee Tech            32.36%      8.85%      2.89%      0.43%      0.10%
South Dakota State        59.03%     10.12%      2.81%      0.35%      0.05%
Youngstown State          42.28%      3.18%      1.19%      0.29%      0.05%
SE Louisiana              51.42%      3.97%      1.48%      0.42%      0.09%
Illinois State            48.58%      5.00%      2.17%      0.67%      0.17%
Yale                      57.72%      8.50%      4.46%      1.68%      0.43%
New Hampshire             40.97%      6.68%      1.78%      0.20%      0.03%
North Dakota              67.64%     35.16%     20.07%      6.37%      2.79%
Harvard                   70.54%     26.85%     10.09%      2.22%      0.72%
Drake                     11.19%      0.70%      0.04%      0.00%      0.00%
Lamar                     18.27%      2.47%      0.07%      0.01%      0.00%
CCSU                      11.67%      0.71%      0.01%      0.00%      0.00%
