Seed       Team                 Record     Conf
1          Michigan             18-1       B10
1          Arizona              20-0       B12
1          UConn                19-1       BE
1          Nebraska             20-0       B10
2          Duke                 18-1       ACC
2          Purdue               17-3       B10
2          Gonzaga              21-1       WCC
2          Michigan State       18-2       B10
3          Illinois             17-3       B10
3          Houston              17-2       B12
3          Vanderbilt           17-3       SEC
3          Iowa State           18-2       B12
4          Texas Tech           16-4       B12
4          BYU                  17-2       B12
4          Kansas               15-5       B12
4          Alabama              13-6       SEC
5          Virginia             16-3       ACC
5          Arkansas             15-5       SEC
5          Florida              14-6       SEC
5          Clemson              17-4       ACC
6          St. John's           15-5       BE
6          Saint Mary's         19-3       WCC
6          North Carolina       16-4       ACC
6          Auburn               13-7       SEC
7          SMU                  15-5       ACC
7          Villanova            15-5       BE
7          Louisville           14-5       ACC
7          Saint Louis          19-1       A10
8          Tennessee            13-6       SEC
8          UCF                  15-4       B12
8          Utah State           16-3       MW
8          Georgia              16-4       SEC
9          Iowa                 14-5       B10
9          USC                  15-5       B10
9          Texas A&M            16-4       SEC
9          Kentucky             14-6       SEC
10         NC State             14-6       ACC
10         New Mexico           16-4       MW
10         Santa Clara          17-5       WCC
10         Wisconsin            14-6       B10
11         Miami FL             16-4       ACC
11         UCLA                 14-6       B10
11         San Diego State      14-5       MW
11         Miami OH             20-0       MAC
11         Virginia Tech        15-6       ACC
11         Ohio State           13-6       B10
12*        Tulsa                17-3       Amer
12*        Belmont              18-3       MVC
12*        Liberty              17-3       CUSA
12*        Yale                 15-3       Ivy
13*        McNeese              16-4       Slnd
13*        Hawai'i              15-4       BW
13*        North Dakota State   18-5       Sum
13*        Utah Valley          15-6       WAC
14*        High Point           18-4       BSth
14*        UNC Wilmington       18-3       CAA
14*        Troy                 15-6       SB
14*        Oakland              12-10      Horz
15*        Lipscomb             14-7       ASun
15*        Portland State       13-5       BSky
15*        ETSU                 15-6       SoCon
15*        UT Martin            15-5       OVC
16*        Quinnipiac           14-8       MAAC
16*        Navy                 15-6       PL
16*        LIU                  12-8       NEC
16*        Bethune-Cookman      8-11       SWAC
16*        UMBC                 12-7       AE
16*        Howard               12-9       MEAC

FFO        Cal                  15-5       ACC
FFO        Butler               13-7       BE
FFO        Indiana              13-7       B10
FFO        Stanford             14-6       ACC
