Ranking    Team                  Record     Conf       Rating     MoV        SoS        Last Year
1          Houston               0-0        B12        0.877      2          7          1
2          Auburn                0-0        SEC        0.853      6          2          2
3          Duke                  0-0        ACC        0.850      1          38         3
4          Florida               0-0        SEC        0.789      5          13         4
5          Alabama               0-0        SEC        0.746      28         1          5
6          Tennessee             0-0        SEC        0.702      15         10         6
7          Gonzaga               0-0        WCC        0.664      4          56         7
8          Texas Tech            0-0        B12        0.621      18         28         8
9          Arizona               0-0        B12        0.618      47         4          9
10         Wisconsin             0-0        B10        0.603      22         31         10
11         Purdue                0-0        B10        0.601      52         5          11
12         Iowa State            0-0        B12        0.598      20         35         12
13         Michigan State        0-0        B10        0.591      35         20         13
14         Maryland              0-0        B10        0.586      14         53         14
15         BYU                   0-0        B12        0.566      31         34         15
16         Illinois              0-0        B10        0.559      54         15         16
17         Kentucky              0-0        SEC        0.558      83         3          17
18         Saint Mary's          0-0        WCC        0.555      12         66         18
19         Louisville            0-0        ACC        0.552      27         50         19
20         St. John's            0-0        BE         0.542      13         58         20
21         Texas A&M             0-0        SEC        0.536      71         12         21
22         Clemson               0-0        ACC        0.533      16         62         22
23         UCLA                  0-0        B10        0.527      43         37         23
24         Ole Miss              0-0        SEC        0.522      80         11         24
25         Michigan              0-0        B10        0.522      93         8          25
26         Missouri              0-0        SEC        0.522      38         47         26
27         Kansas                0-0        B12        0.509      99         9          27
28         Mississippi State     0-0        SEC        0.471      92         19         28
29         Oregon                0-0        B10        0.468      112        16         29
30         Marquette             0-0        BE         0.461      56         52         30
31         New Mexico            0-0        MW         0.459      25         77         31
32         North Carolina        0-0        ACC        0.456      86         29         32
33         VCU                   0-0        A10        0.452      9          103        33
34         Georgia               0-0        SEC        0.452      95         27         34
35         Creighton             0-0        BE         0.443      72         48         35
36         West Virginia         0-0        B12        0.442      105        25         36
37         Baylor                0-0        B12        0.429      136        14         37
38         Xavier                0-0        BE         0.426      46         68         38
39         UConn                 0-0        BE         0.423      49         61         39
40         Utah State            0-0        MW         0.415      33         88         40
41         Ohio State            0-0        B10        0.403      144        17         41
42         Colorado State        0-0        MW         0.399      48         74         42
43         Drake                 0-0        MVC        0.397      10         126        43
44         Arkansas              0-0        SEC        0.394      135        24         44
45         Vanderbilt            0-0        SEC        0.392      116        45         45
46         Cincinnati            0-0        B12        0.383      113        51         46
47         Nebraska              0-0        B10        0.382      124        41         47
48         Indiana               0-0        B10        0.373      159        21         48
49         UC San Diego          0-0        BW         0.366      3          201        49
50         Boise State           0-0        MW         0.366      55         84         50
51         Santa Clara           0-0        WCC        0.365      53         87         51
52         SMU                   0-0        ACC        0.352      61         85         52
53         Memphis               0-0        Amer       0.350      75         71         53
54         Oklahoma              0-0        SEC        0.349      163        30         54
55         Northwestern          0-0        B10        0.342      161        33         55
56         San Francisco         0-0        WCC        0.342      58         90         56
57         San Diego State       0-0        MW         0.340      85         69         57
58         Texas                 0-0        SEC        0.335      151        43         58
59         USC                   0-0        B10        0.332      172        32         59
60         McNeese               0-0        Slnd       0.330      11         166        60
61         Villanova             0-0        BE         0.328      74         86         61
62         George Mason          0-0        A10        0.325      29         114        62
63         Liberty               0-0        CUSA       0.316      8          195        63
64         Iowa                  0-0        B10        0.310      167        46         64
65         Penn State            0-0        B10        0.310      122        63         65
66         Kansas State          0-0        B12        0.305      180        44         66
67         Pitt                  0-0        ACC        0.287      150        57         67
68         Utah                  0-0        B12        0.281      171        55         68
69         North Texas           0-0        Amer       0.279      40         119        69
70         Wake Forest           0-0        ACC        0.276      138        65         70
71         Arizona State         0-0        B12        0.276      281        6          71
72         Washington State      0-0        WCC        0.272      102        89         72
73         Stanford              0-0        ACC        0.267      128        75         73
74         Bradley               0-0        MVC        0.267      44         120        74
75         Grand Canyon          0-0        MW         0.266      19         173        75
76         Dayton                0-0        A10        0.256      106        95         76
