Ranking,Team,Record,Conf,SubDiv,Rating,MoV,SoS,Last Year
1,Oregon,May-00,B10,FBS,0.964,6,38,2
2,Ohio State,Apr-00,B10,FBS,0.962,13,35,1
3,Notre Dame,2-Feb,-,FBS,0.938,52,1,3
4,Indiana,May-00,B10,FBS,0.86,7,48,7
5,Ole Miss,May-00,SEC,FBS,0.851,40,4,6
6,Texas A&M,Apr-00,SEC,FBS,0.814,50,2,13
7,Texas,1-Mar,SEC,FBS,0.805,29,55,4
8,Alabama,1-Mar,SEC,FBS,0.792,43,16,8
9,Miami FL,Apr-00,ACC,FBS,0.79,8,41,24
10,Tennessee,1-Apr,SEC,FBS,0.778,17,36,21
11,USC,1-Apr,B10,FBS,0.761,22,37,18
12,Penn State,1-Mar,B10,FBS,0.754,23,68,5
13,Georgia,1-Mar,SEC,FBS,0.747,58,5,9
14,LSU,1-Apr,SEC,FBS,0.704,64,6,14
15,Michigan,1-Mar,B10,FBS,0.701,48,25,19
16,BYU,Apr-00,B12,FBS,0.696,16,90,12
17,Arizona State,1-Apr,B12,FBS,0.678,72,10,10
18,Oklahoma,Apr-00,SEC,FBS,0.674,18,40,46
19,TCU,1-Mar,B12,FBS,0.669,37,29,38
20,Vanderbilt,May-00,SEC,FBS,0.65,14,78,44
21,Louisville,Apr-00,ACC,FBS,0.649,34,75,17
22,Iowa State,May-00,B12,FBS,0.635,45,53,34
23,Washington,1-Mar,B10,FBS,0.619,44,34,49
24,Utah,1-Apr,B12,FBS,0.618,15,88,48
25,Missouri,May-00,SEC,FBS,0.616,11,112,36
26,Auburn,2-Mar,SEC,FBS,0.6,63,15,58
27,Kansas,2-Mar,B12,FBS,0.598,39,80,23
28,Texas Tech,Apr-00,B12,FBS,0.597,3,170,54
29,Illinois,1-Apr,B10,FBS,0.597,71,28,32
30,Nebraska,1-Mar,B10,FBS,0.591,41,85,27
31,Tulane,1-Apr,Amer,FBS,0.583,65,33,42
32,Maryland,Apr-00,B10,FBS,0.573,5,113,67
33,South Carolina,2-Mar,SEC,FBS,0.569,104,12,11
34,North Dakota State,Apr-00,MVC,FCS,0.55,4,207,35
35,Boise State,1-Mar,MW,FBS,0.529,35,137,20
36,SMU,2-Feb,ACC,FBS,0.521,87,70,15
37,Georgia Tech,May-00,ACC,FBS,0.514,53,65,55
38,Iowa,2-Mar,B10,FBS,0.513,81,51,29
39,Virginia,1-Apr,ACC,FBS,0.508,26,97,72
40,Cincinnati,1-Mar,B12,FBS,0.501,47,84,56
41,Old Dominion,1-Mar,SB,FBS,0.494,51,47,75
42,Rutgers,2-Mar,B10,FBS,0.485,60,69,53
43,Colorado,3-Feb,B12,FBS,0.484,108,27,30
44,Memphis,May-00,Amer,FBS,0.476,25,131,52
45,Mississippi State,1-Apr,SEC,FBS,0.476,36,72,103
46,Minnesota,1-Mar,B10,FBS,0.475,59,128,22
47,Florida,3-Jan,SEC,FBS,0.457,135,32,31
48,Baylor,2-Mar,B12,FBS,0.456,91,46,37
49,James Madison,1-Mar,SB,FBS,0.454,30,108,68
50,Kentucky,2-Feb,SEC,FBS,0.454,102,11,64
51,North Texas,May-00,Amer,FBS,0.446,28,92,105
52,UNLV,Apr-00,MW,FBS,0.443,55,136,33
53,Arkansas,3-Feb,SEC,FBS,0.442,111,23,57
54,Kansas State,3-Feb,B12,FBS,0.439,137,22,28
55,Michigan State,1-Mar,B10,FBS,0.438,85,39,65
56,Toledo,2-Mar,MAC,FBS,0.434,31,119,78
57,Navy,Apr-00,Amer,FBS,0.432,20,167,43
58,Pitt,2-Feb,ACC,FBS,0.416,57,106,61
59,Houston,Apr-00,B12,FBS,0.413,46,96,81
60,Florida State,1-Mar,ACC,FBS,0.413,10,102,113
61,Clemson,3-Jan,ACC,FBS,0.408,203,9,16
62,South Dakota State,Apr-00,MVC,FCS,0.391,27,168,47
63,Duke,2-Mar,ACC,FBS,0.389,126,26,62
