Ranking    Team                Record     Conf       SubDiv     Rating     MoV        SoS        Last Year
1          Indiana             2-0        B10        FBS        1.016      -          -          1
2          Notre Dame          2-0        -          FBS        0.944      -          -          3
3          Ohio State          1-1        B10        FBS        0.895      -          -          4
4          Miami FL            2-0        ACC        FBS        0.862      -          -          6
5          Texas A&M           2-0        SEC        FBS        0.814      -          -          10
6          Utah                2-0        B12        FBS        0.805      -          -          9
7          Alabama             2-0        SEC        FBS        0.796      -          -          13
8          Oregon              1-1        B10        FBS        0.794      -          -          2
9          Georgia             2-0        SEC        FBS        0.787      -          -          7
10         Texas Tech          2-0        B12        FBS        0.786      -          -          5
11         Mississippi         2-0        SEC        FBS        0.762      -          -          8
12         USC                 3-0        B10        FBS        0.758      -          -          12
13         Oklahoma            1-1        SEC        FBS        0.737      -          -          11
14         Texas               2-0        SEC        FBS        0.735      -          -          21
15         Tennessee           2-0        SEC        FBS        0.734      -          -          14
16         Iowa                2-0        B10        FBS        0.720      -          -          15
17         Michigan            2-0        B10        FBS        0.713      -          -          18
18         Pitt                2-0        ACC        FBS        0.690      -          -          20
19         BYU                 2-0        B12        FBS        0.686      -          -          16
20         SMU                 2-0        ACC        FBS        0.676      -          -          19
21         Virginia            2-0        ACC        FBS        0.664      -          -          26
22         Penn State          2-0        B10        FBS        0.664      -          -          22
23         Washington          2-0        B10        FBS        0.662      -          -          17
24         LSU                 2-0        SEC        FBS        0.618      -          -          38
25         Kansas State        2-0        B12        FBS        0.616      -          -          35
26         Louisville          1-1        ACC        FBS        0.615      -          -          28
27         North Texas         1-1        Amer       FBS        0.600      -          -          29
28         Iowa State          1-1        B12        FBS        0.594      -          -          25
29         Arizona             1-1        B12        FBS        0.583      -          -          32
30         Vanderbilt          2-0        SEC        FBS        0.570      -          -          24
31         Auburn              2-0        SEC        FBS        0.568      -          -          34
32         Illinois            1-1        B10        FBS        0.553      -          -          27
33         Florida             2-0        SEC        FBS        0.552      -          -          47
34         Mississippi State   2-0        SEC        FBS        0.550      -          -          60
35         USF                 2-0        Amer       FBS        0.544      -          -          31
36         Kentucky            1-1        SEC        FBS        0.531      -          -          55
37         Duke                2-0        ACC        FBS        0.529      -          -          58
38         TCU                 1-1        B12        FBS        0.504      -          -          23
39         Wake Forest         2-0        ACC        FBS        0.504      -          -          44
40         NC State            1-1        ACC        FBS        0.495      -          -          33
41         North Dakota State  3-0        MW         FBS        0.494      -          -          45
42         Missouri            2-0        SEC        FBS        0.494      -          -          37
43         Nebraska            2-0        B10        FBS        0.493      -          -          52
44         James Madison       2-0        SB         FBS        0.485      -          -          40
45         Cincinnati          2-0        B12        FBS        0.476      -          -          54
46         Boise State         1-1        P12        FBS        0.466      -          -          61
47         Montana State       3-0        BSky       FCS        0.464      -          -          42
48         Houston             2-0        B12        FBS        0.464      -          -          43
49         Tulane              1-1        Amer       FBS        0.461      -          -          30
50         Florida State       1-1        ACC        FBS        0.459      -          -          51
51         Arizona State       1-1        B12        FBS        0.450      -          -          50
52         Northwestern        1-0        B10        FBS        0.445      -          -          49
53         South Carolina      2-0        SEC        FBS        0.445      -          -          53
54         Georgia Tech        0-2        ACC        FBS        0.439      -          -          41
55         Michigan State      2-0        B10        FBS        0.431      -          -          66
56         UTSA                2-0        Amer       FBS        0.420      -          -          56
57         Clemson             1-1        ACC        FBS        0.410      -          -          46
58         Washington State    0-2        P12        FBS        0.397      -          -          48
59         North Dakota        3-0        MVC        FCS        0.397      -          -          74
60         Maryland            2-0        B10        FBS        0.394      -          -          62
61         Baylor              1-1        B12        FBS        0.393      -          -          70
62         Army                1-1        Amer       FBS        0.390      -          -          69
63         Western Michigan    1-1        MAC        FBS        0.380      -          -          71
64         Virginia Tech       2-0        ACC        FBS        0.357      -          -          89
65         Colorado            2-0        B12        FBS        0.355      -          -          76
66         Memphis             2-1        Amer       FBS        0.353      -          -          68
67         Kansas              1-1        B12        FBS        0.353      -          -          63
68         East Carolina       0-2        Amer       FBS        0.341      -          -          39
69         New Mexico          2-0        MW         FBS        0.339      -          -          77
70         Old Dominion        1-1        SB         FBS        0.329      -          -          36
71         San Diego State     1-1        P12        FBS        0.329      -          -          59
72         Wisconsin           1-1        B10        FBS        0.328      -          -          75
73         Toledo              1-1        MAC        FBS        0.324      -          -          65
74         Arkansas            1-1        SEC        FBS        0.317      -          -          67
75         Navy                1-1        Amer       FBS        0.312      -          -          57
76         UCLA                2-0        B10        FBS        0.299      -          -          90
77         Purdue              1-1        B10        FBS        0.288      -          -          84
78         Lehigh              3-0        PL         FCS        0.285      -          -          95
79         UConn               1-1        -          FBS        0.271      -          -          82
80         UCF                 1-1        B12        FBS        0.259      -          -          86
81         UNLV                1-2        MW         FBS        0.257      -          -          78
82         Ohio                1-1        MAC        FBS        0.257      -          -          81
83         North Carolina      2-0        ACC        FBS        0.245      -          -          103
84         Cal                 1-1        ACC        FBS        0.235      -          -          79
85         Montana             3-0        BSky       FCS        0.227      -          -          73
86         Syracuse            1-1        ACC        FBS        0.225      -          -          97
87         Utah State          0-2        P12        FBS        0.221      -          -          88
88         Minnesota           1-1        B10        FBS        0.221      -          -          72
89         West Virginia       2-0        B12        FBS        0.212      -          -          106
90         Texas State         0-2        P12        FBS        0.190      -          -          87
91         Fresno State        1-1        P12        FBS        0.186      -          -          98
92         Louisiana Tech      1-1        SB         FBS        0.184      -          -          91
93         FAU                 1-1        Amer       FBS        0.184      -          -          104
94         Illinois State      3-0        MVC        FCS        0.184      -          -          80
95         South Dakota        3-0        MVC        FCS        0.181      -          -          105
96         SF Austin           3-0        SL         FCS        0.178      -          -          110
97         Boston College      1-1        ACC        FBS        0.177      -          -          99
98         Tarleton State      3-0        UAC        FCS        0.176      -          -          83
99         Stanford            1-1        ACC        FBS        0.156      -          -          94
100        Jax State           1-2        CUSA       FBS        0.151      -          -          119
101        Hawai'i             1-2        MW         FBS        0.150      -          -          85
102        Miami OH            1-1        MAC        FBS        0.147      -          -          100
103        Temple              1-1        Amer       FBS        0.144      -          -          115
104        Georgia Southern    1-1        SB         FBS        0.144      -          -          109
105        Tulsa               2-0        Amer       FBS        0.137      -          -          101
106        App State           2-0        SB         FBS        0.136      -          -          139
107        Rutgers             0-2        B10        FBS        0.132      -          -          64
108        FIU                 1-1        CUSA       FBS        0.124      -          -          125
109        Idaho State         3-0        BSky       FCS        0.123      -          -          121
